# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
1             	GAMG	1.000000e+00	2.291420e-03	2	true
2             	GAMG	3.102230e-01	7.016160e-04	2	true
3             	GAMG	1.754260e-01	4.133050e-04	2	true
4             	GAMG	1.181470e-01	2.922680e-04	2	true
5             	GAMG	8.655230e-02	2.274710e-04	2	true
6             	GAMG	6.659810e-02	1.880110e-04	2	true
7             	GAMG	5.290030e-02	1.620720e-04	2	true
8             	GAMG	4.295080e-02	1.441490e-04	2	true
9             	GAMG	3.542430e-02	1.312140e-04	2	true
10            	GAMG	2.955500e-02	1.215670e-04	2	true
11            	GAMG	2.487090e-02	1.140420e-04	2	true
12            	GAMG	2.105900e-02	1.077690e-04	2	true
13            	GAMG	1.985330e-02	1.020620e-04	2	true
14            	GAMG	1.916330e-02	9.637310e-05	2	true
15            	GAMG	1.850580e-02	9.050450e-05	2	true
16            	GAMG	1.789490e-02	8.497790e-05	2	true
17            	GAMG	1.733760e-02	8.116710e-05	2	true
18            	GAMG	1.682870e-02	8.152040e-05	2	true
19            	GAMG	1.638950e-02	9.508720e-05	2	true
20            	GAMG	1.600730e-02	1.151570e-04	2	true
21            	GAMG	1.572320e-02	1.065320e-04	2	true
22            	GAMG	1.544780e-02	9.714910e-05	2	true
23            	GAMG	1.519960e-02	9.943750e-05	2	true
24            	GAMG	1.511480e-02	1.049180e-04	2	true
25            	GAMG	1.530000e-02	1.136870e-04	2	true
26            	GAMG	1.568440e-02	1.222360e-04	2	true
27            	GAMG	1.598600e-02	1.225410e-04	2	true
28            	GAMG	1.639640e-02	1.263260e-04	2	true
29            	GAMG	1.666230e-02	1.344490e-04	2	true
30            	GAMG	1.761860e-02	1.406510e-04	2	true
31            	GAMG	1.988620e-02	1.547860e-04	2	true
32            	GAMG	2.491750e-02	1.621930e-04	2	true
33            	GAMG	3.528640e-02	1.958550e-04	2	true
34            	GAMG	5.251310e-02	2.699580e-04	2	true
35            	GAMG	7.780220e-02	4.015550e-04	2	true
36            	GAMG	1.105840e-01	6.393880e-04	2	true
37            	GAMG	1.484840e-01	9.796370e-04	2	true
38            	GAMG	1.861660e-01	1.359430e-03	2	true
39            	GAMG	2.152080e-01	1.690920e-03	2	true
40            	GAMG	2.339010e-01	1.841570e-03	2	true
41            	GAMG	2.393120e-01	1.826400e-03	2	true
42            	GAMG	2.342810e-01	1.780120e-03	2	true
43            	GAMG	2.237780e-01	1.711500e-03	2	true
44            	GAMG	2.153640e-01	1.680850e-03	2	true
45            	GAMG	2.058830e-01	1.615750e-03	2	true
46            	GAMG	1.988590e-01	1.570850e-03	2	true
47            	GAMG	1.931150e-01	1.534220e-03	2	true
48            	GAMG	1.878500e-01	1.515550e-03	2	true
49            	GAMG	1.844750e-01	1.481330e-03	2	true
50            	GAMG	1.815300e-01	1.403250e-03	2	true
51            	GAMG	1.775260e-01	1.329490e-03	2	true
52            	GAMG	1.766700e-01	1.268860e-03	2	true
53            	GAMG	1.755690e-01	1.212310e-03	2	true
54            	GAMG	1.766780e-01	1.086120e-03	2	true
55            	GAMG	1.783050e-01	9.700510e-04	2	true
56            	GAMG	1.791810e-01	8.509700e-04	2	true
57            	GAMG	1.797050e-01	7.451810e-04	2	true
58            	GAMG	1.803690e-01	6.392580e-04	2	true
59            	GAMG	1.821940e-01	5.809040e-04	2	true
60            	GAMG	1.816460e-01	6.126280e-04	2	true
61            	GAMG	1.803280e-01	6.303370e-04	2	true
62            	GAMG	1.778840e-01	6.510650e-04	2	true
63            	GAMG	1.710870e-01	6.392560e-04	2	true
64            	GAMG	1.663150e-01	6.482950e-04	2	true
65            	GAMG	1.610330e-01	6.328780e-04	2	true
66            	GAMG	1.564990e-01	5.975080e-04	2	true
67            	GAMG	1.524630e-01	5.249860e-04	2	true
68            	GAMG	1.486470e-01	4.657360e-04	2	true
69            	GAMG	1.466390e-01	3.916960e-04	2	true
70            	GAMG	1.422780e-01	3.478020e-04	2	true
71            	GAMG	1.376040e-01	2.806130e-04	2	true
72            	GAMG	1.340160e-01	2.531900e-04	2	true
73            	GAMG	1.291950e-01	2.012140e-04	2	true
74            	GAMG	1.245080e-01	2.006890e-04	2	true
75            	GAMG	1.211530e-01	1.939330e-04	2	true
76            	GAMG	1.170780e-01	1.990170e-04	2	true
77            	GAMG	1.144930e-01	2.175220e-04	2	true
78            	GAMG	1.117610e-01	2.226740e-04	2	true
79            	GAMG	1.084710e-01	2.266700e-04	2	true
80            	GAMG	1.057770e-01	2.368690e-04	2	true
81            	GAMG	1.029210e-01	2.465610e-04	2	true
82            	GAMG	1.010930e-01	2.458070e-04	2	true
83            	GAMG	9.904200e-02	2.499350e-04	2	true
84            	GAMG	9.549800e-02	2.383530e-04	2	true
85            	GAMG	9.379950e-02	2.440600e-04	2	true
86            	GAMG	9.068080e-02	2.340650e-04	2	true
87            	GAMG	8.756860e-02	2.313530e-04	2	true
88            	GAMG	8.524730e-02	2.263880e-04	2	true
89            	GAMG	8.368340e-02	2.204380e-04	2	true
90            	GAMG	8.206680e-02	2.064850e-04	2	true
91            	GAMG	8.030090e-02	1.982240e-04	2	true
92            	GAMG	7.922470e-02	1.973180e-04	2	true
93            	GAMG	7.792660e-02	1.955680e-04	2	true
94            	GAMG	7.711870e-02	1.998990e-04	2	true
95            	GAMG	7.730630e-02	1.933590e-04	2	true
96            	GAMG	7.716070e-02	1.978660e-04	2	true
97            	GAMG	7.724710e-02	2.028640e-04	2	true
98            	GAMG	7.701080e-02	2.029460e-04	2	true
99            	GAMG	7.779320e-02	2.049500e-04	2	true
100           	GAMG	7.779380e-02	2.135000e-04	2	true
101           	GAMG	7.842770e-02	2.187130e-04	2	true
102           	GAMG	7.821500e-02	2.265950e-04	2	true
103           	GAMG	7.838940e-02	2.186760e-04	2	true
104           	GAMG	7.886210e-02	2.165590e-04	2	true
105           	GAMG	8.042170e-02	2.145670e-04	2	true
106           	GAMG	8.191360e-02	2.009450e-04	2	true
107           	GAMG	8.353980e-02	1.953520e-04	2	true
108           	GAMG	8.440880e-02	1.977940e-04	2	true
109           	GAMG	8.605880e-02	1.934360e-04	2	true
110           	GAMG	8.801460e-02	1.912070e-04	2	true
111           	GAMG	8.969480e-02	1.966170e-04	2	true
112           	GAMG	9.177150e-02	2.014000e-04	2	true
113           	GAMG	9.336810e-02	2.017850e-04	2	true
114           	GAMG	9.448680e-02	2.121970e-04	2	true
115           	GAMG	9.654830e-02	2.197860e-04	2	true
116           	GAMG	9.802270e-02	2.201370e-04	2	true
117           	GAMG	1.008530e-01	2.196340e-04	2	true
118           	GAMG	1.023740e-01	2.175720e-04	2	true
